agri_risk_score,claims_history_index,yield_stability,weather_volatility,market_stability,soil_quality,insurance_risk_score
47.2,0.38,0.59,0.39,0.57,0.73,44.0
15.9,0.19,0.46,0.13,0.67,0.99,21.7
6.0,0.0,0.97,0.07,0.93,1.0,9.1
34.1,0.38,0.46,0.51,0.49,0.92,37.7
30.7,0.24,0.81,0.31,0.93,0.67,29.1
27.9,0.24,0.64,0.31,0.95,0.99,17.5
32.9,0.3,0.59,0.38,0.84,0.7,30.5
40.6,0.18,0.42,0.51,0.95,0.74,37.2
32.3,0.16,0.7,0.47,0.56,0.8,27.2
18.1,0.26,0.69,0.42,0.92,1.0,24.5
11.0,0.12,0.88,0.14,0.71,0.94,5.8
6.3,0.21,0.89,0.13,0.66,1.0,8.9
38.9,0.25,0.46,0.37,0.72,0.77,27.6
22.1,0.31,0.72,0.29,0.63,0.9,30.6
17.1,0.22,0.74,0.36,0.62,0.94,18.5
6.8,0.18,1.0,0.12,0.97,0.99,9.0
20.6,0.2,0.96,0.38,0.52,1.0,19.6
35.9,0.37,0.44,0.31,0.56,0.77,44.8
31.7,0.23,0.71,0.43,0.85,0.85,34.0
13.7,0.11,0.82,0.34,0.87,1.0,17.5
21.7,0.17,0.65,0.41,0.79,1.0,33.0
13.6,0.0,0.89,0.25,0.55,0.78,15.0
6.4,0.08,1.0,0.14,0.89,1.0,2.6
57.9,0.67,0.02,0.64,0.33,0.76,68.8
16.7,0.29,0.98,0.21,0.58,0.9,13.4
48.6,0.4,0.62,0.38,0.88,0.74,39.8
22.3,0.22,0.77,0.41,0.56,1.0,27.6
37.3,0.36,0.49,0.38,0.65,0.95,38.6
38.7,0.53,0.69,0.44,0.55,0.77,48.1
29.1,0.47,0.61,0.48,0.58,1.0,45.6
35.8,0.23,0.83,0.29,0.84,0.66,24.8
36.9,0.42,0.77,0.43,0.56,0.79,39.1
43.4,0.49,0.57,0.47,0.72,0.81,44.4
5.9,0.04,0.82,0.3,0.73,0.92,16.0
15.4,0.03,0.92,0.21,0.48,1.0,18.3
69.1,0.76,0.43,0.6,0.83,0.66,57.5
4.9,0.17,0.9,0.19,0.68,0.84,10.8
18.6,0.13,0.88,0.18,0.43,0.91,12.5
27.2,0.39,0.66,0.33,0.79,0.96,24.7
32.2,0.32,0.42,0.36,0.88,0.85,27.1
48.2,0.62,0.27,0.4,0.68,0.83,47.8
32.0,0.46,0.7,0.47,0.88,0.88,40.2
49.2,0.49,0.74,0.47,0.6,0.72,43.0
18.4,0.23,0.67,0.22,0.6,1.0,29.6
2.9,0.0,0.85,0.06,0.74,0.82,0.0
43.8,0.28,0.61,0.33,0.81,0.65,33.2
22.0,0.25,0.79,0.44,0.81,0.7,25.5
12.7,0.0,0.92,0.39,0.69,0.98,21.8
56.2,0.77,0.52,0.66,0.81,0.61,61.1
13.5,0.25,0.86,0.23,0.69,0.82,24.7
18.9,0.17,0.83,0.37,0.68,0.77,23.5
27.9,0.55,0.55,0.45,0.63,0.8,37.9
25.8,0.2,0.68,0.27,0.56,0.76,35.5
17.1,0.13,1.0,0.3,0.65,1.0,16.8
39.0,0.35,0.68,0.56,0.87,0.77,36.5
13.9,0.13,0.9,0.18,0.51,0.91,13.8
46.6,0.43,0.4,0.53,0.56,0.8,50.1
61.6,0.66,0.26,0.63,0.85,0.65,56.4
30.7,0.21,0.53,0.35,0.78,0.79,31.9
31.2,0.32,0.41,0.37,0.63,0.81,34.2
13.5,0.08,0.82,0.23,0.91,1.0,17.7
72.4,0.73,0.22,0.66,0.52,0.69,65.8
11.9,0.01,0.91,0.13,0.42,0.94,12.7
28.5,0.2,0.87,0.44,0.63,0.63,31.4
51.4,0.73,0.39,0.56,0.7,0.7,57.7
15.6,0.06,1.0,0.4,0.68,0.86,20.3
26.1,0.31,0.82,0.26,0.42,1.0,29.8
14.0,0.09,1.0,0.14,0.57,0.92,15.5
38.8,0.29,0.44,0.37,0.7,0.95,34.8
46.4,0.47,0.71,0.48,0.76,0.74,49.7
12.8,0.04,0.77,0.15,0.56,1.0,13.4
5.5,0.11,0.83,0.18,0.83,0.94,13.3
1.7,0.0,0.97,0.2,0.98,0.88,7.1
15.9,0.29,0.71,0.13,0.65,0.87,13.1
26.7,0.14,0.8,0.41,0.92,0.72,22.2
53.0,0.56,0.6,0.65,0.4,0.77,60.7
30.7,0.34,0.77,0.3,0.71,0.77,32.1
25.0,0.15,0.74,0.41,0.76,0.99,33.7
40.4,0.34,0.77,0.41,0.9,0.85,31.3
37.0,0.23,0.69,0.46,0.64,0.75,35.3
22.1,0.06,0.76,0.38,0.65,0.75,26.7
9.1,0.08,0.89,0.15,0.87,0.85,7.9
42.6,0.51,0.44,0.53,0.82,0.96,40.9
30.8,0.29,0.55,0.25,0.68,0.69,25.2
8.7,0.08,0.84,0.36,0.5,0.84,16.1
32.0,0.19,0.52,0.33,0.7,0.58,32.6
17.2,0.0,0.66,0.19,0.61,0.9,27.0
52.4,0.56,0.34,0.41,0.84,0.77,50.8
14.4,0.08,1.0,0.34,0.75,0.93,8.4
43.7,0.26,0.44,0.48,0.65,0.94,40.5
56.2,0.51,0.56,0.68,0.79,0.71,46.9
20.4,0.23,0.7,0.34,0.86,0.96,16.3
26.5,0.31,0.76,0.29,0.57,1.0,33.5
34.3,0.36,0.53,0.49,0.71,0.91,35.9
30.8,0.24,0.72,0.3,0.98,0.98,21.7
7.8,0.14,1.0,0.14,0.88,0.97,16.3
20.4,0.2,0.69,0.15,0.9,0.89,14.4
46.8,0.38,0.49,0.4,0.81,0.85,37.0
22.4,0.11,0.6,0.24,0.58,0.86,32.6
56.4,0.58,0.6,0.48,0.57,0.69,56.0
45.8,0.55,0.73,0.43,0.76,0.69,44.4
22.9,0.29,0.63,0.33,0.4,0.92,36.1
19.4,0.21,0.78,0.2,0.49,0.73,23.0
11.4,0.18,0.95,0.27,0.84,0.78,8.7
11.9,0.36,0.89,0.12,0.95,1.0,15.5
22.4,0.25,0.64,0.44,0.5,0.92,23.5
17.5,0.19,0.68,0.13,0.64,0.75,23.1
23.8,0.29,0.58,0.44,0.71,0.82,40.2
43.8,0.51,0.72,0.47,0.88,0.73,40.2
30.5,0.17,0.79,0.43,0.7,0.76,28.3
41.1,0.43,0.84,0.38,0.93,0.91,36.4
23.8,0.34,0.61,0.22,0.79,0.97,30.3
30.6,0.48,0.74,0.5,0.59,0.84,45.5
22.4,0.23,0.8,0.29,0.86,1.0,24.8
22.8,0.18,0.83,0.3,0.58,0.77,36.1
60.1,0.62,0.49,0.72,0.75,0.68,54.6
18.6,0.12,1.0,0.23,0.82,0.91,15.5
33.2,0.49,1.0,0.26,0.62,0.78,30.2
15.4,0.2,0.9,0.28,0.66,0.67,23.9
59.0,0.58,0.65,0.58,0.74,0.62,63.0
13.6,0.25,0.73,0.33,0.84,1.0,17.4
14.5,0.03,0.84,0.39,0.69,0.96,18.8
47.0,0.26,0.41,0.42,0.72,0.85,37.3
34.7,0.39,0.69,0.46,0.88,0.99,29.1
22.4,0.33,0.85,0.29,0.85,0.76,24.1
38.1,0.37,0.96,0.5,0.6,0.98,36.0
25.3,0.18,0.61,0.23,0.82,0.83,18.2
19.2,0.1,1.0,0.28,0.7,0.97,21.3
21.8,0.09,0.72,0.18,0.92,0.99,16.2
54.7,0.61,0.37,0.55,0.61,0.69,59.1
43.2,0.51,0.53,0.35,0.45,0.77,52.7
33.8,0.43,0.96,0.52,0.81,0.82,33.8
28.0,0.28,0.43,0.36,0.95,0.75,38.7
20.5,0.09,0.86,0.3,0.61,0.81,22.7
19.8,0.13,0.97,0.43,0.95,0.92,18.0
42.0,0.48,0.43,0.44,0.9,0.61,38.4
9.5,0.0,0.99,0.27,0.42,0.92,10.0
6.8,0.06,0.82,0.06,0.68,0.95,11.1
37.3,0.27,0.92,0.47,0.95,0.76,30.5
18.1,0.11,0.63,0.16,0.82,1.0,11.6
46.9,0.35,0.62,0.56,0.73,0.83,35.2
44.2,0.44,0.49,0.57,0.32,0.79,43.4
27.3,0.13,0.71,0.29,0.55,1.0,25.6
44.2,0.37,0.51,0.57,0.86,0.8,33.5
45.1,0.54,0.72,0.46,0.71,0.69,40.1
51.4,0.62,0.51,0.53,0.7,0.73,49.9
19.8,0.27,0.59,0.26,0.89,0.84,14.2
5.6,0.2,1.0,0.18,0.93,0.89,11.6
1.3,0.0,1.0,0.28,0.79,1.0,9.1
44.2,0.43,0.72,0.59,0.6,0.93,40.0
25.6,0.26,0.8,0.31,0.55,0.98,21.8
12.0,0.32,0.65,0.24,0.59,0.92,23.7
29.1,0.27,0.89,0.24,0.9,0.89,23.1
24.8,0.33,0.92,0.27,0.7,0.82,25.0
27.3,0.44,0.81,0.35,0.4,0.97,40.7
23.1,0.24,0.81,0.22,0.75,0.93,18.9
39.8,0.35,0.66,0.45,0.87,0.79,33.1
12.3,0.08,1.0,0.29,0.98,1.0,8.7
24.4,0.07,0.96,0.37,0.58,0.88,17.0
16.9,0.12,0.91,0.25,0.63,0.85,11.9
36.3,0.22,0.73,0.48,0.75,0.99,31.9
15.9,0.24,0.87,0.21,0.67,0.92,20.1
9.8,0.0,1.0,0.21,0.8,0.89,10.1
32.6,0.37,0.37,0.31,0.74,0.88,23.3
30.7,0.42,0.6,0.4,0.91,0.62,35.7
7.7,0.15,0.81,0.19,0.72,0.99,18.9
47.3,0.42,0.84,0.4,0.73,0.94,43.5
31.6,0.39,0.65,0.31,0.96,0.96,24.9
20.6,0.21,0.5,0.23,0.82,1.0,20.8
3.9,0.0,0.84,0.3,0.71,1.0,5.5
41.7,0.38,0.67,0.45,0.77,0.91,27.8
30.5,0.35,0.7,0.41,0.95,0.81,31.0
36.0,0.2,0.63,0.53,0.47,0.89,41.5
32.0,0.27,0.71,0.28,0.58,0.88,37.0
6.0,0.1,1.0,0.32,0.61,1.0,15.6
21.8,0.17,0.92,0.31,0.69,0.77,25.9
42.3,0.29,0.46,0.55,0.8,0.83,46.3
8.6,0.0,0.96,0.11,0.66,0.99,10.5
24.1,0.26,0.99,0.25,0.75,0.99,20.5
10.7,0.16,0.93,0.13,0.63,0.76,10.2
39.4,0.5,0.52,0.47,0.68,0.79,40.1
25.6,0.33,0.58,0.22,0.76,0.83,32.2
38.4,0.46,0.65,0.51,0.7,0.79,41.2
36.6,0.17,0.6,0.33,0.94,0.96,34.7
58.2,0.66,0.39,0.48,0.57,0.95,51.8
56.2,0.51,0.47,0.48,0.79,0.88,39.5
8.8,0.0,0.81,0.29,0.87,0.96,14.1
34.5,0.4,0.85,0.52,0.77,0.73,40.7
61.0,0.63,0.38,0.7,0.71,0.75,63.3
31.4,0.4,0.98,0.25,0.94,1.0,32.7
64.8,0.59,0.51,0.53,0.62,0.68,60.4
22.7,0.23,0.76,0.36,0.91,1.0,17.1
45.3,0.27,0.35,0.5,0.65,0.56,39.8
60.0,0.8,0.5,0.52,0.67,0.77,48.4
13.6,0.0,0.93,0.35,0.7,1.0,18.9
23.6,0.16,0.66,0.2,0.65,1.0,16.8
60.5,0.5,0.22,0.61,0.54,0.7,54.3
29.2,0.31,0.71,0.29,0.85,0.79,21.2
40.0,0.32,0.63,0.44,0.79,0.92,30.0
45.1,0.56,0.57,0.43,0.93,0.45,43.4
18.5,0.22,0.82,0.42,0.77,0.79,25.6
41.0,0.26,0.77,0.43,0.7,0.79,32.9
35.0,0.43,0.55,0.54,0.8,0.83,38.2
17.6,0.27,1.0,0.2,0.87,1.0,19.3
20.5,0.13,0.54,0.37,0.91,1.0,25.3
60.9,0.49,0.28,0.64,0.49,0.69,65.4
14.2,0.18,0.68,0.35,0.71,0.75,22.4
43.6,0.5,0.6,0.51,0.79,0.78,41.5
30.8,0.21,0.75,0.42,0.52,0.82,24.9
45.5,0.55,0.81,0.52,0.95,0.69,43.4
42.8,0.37,0.6,0.59,0.72,0.72,34.3
27.8,0.4,0.85,0.26,0.48,0.92,39.0
18.5,0.03,0.65,0.14,0.94,0.87,24.0
55.5,0.48,0.24,0.59,0.61,0.74,46.6
50.3,0.48,0.69,0.4,0.59,0.63,43.0
32.2,0.22,0.82,0.43,0.67,0.85,28.7
29.4,0.29,0.74,0.3,0.82,0.93,23.4
12.5,0.09,0.74,0.1,0.71,1.0,17.3
44.4,0.42,0.92,0.54,0.81,0.9,27.6
57.6,0.54,0.55,0.42,0.67,0.62,45.3
12.4,0.0,0.77,0.15,0.67,1.0,3.3
14.2,0.14,0.87,0.2,0.55,0.79,26.2
18.7,0.17,0.59,0.17,0.95,0.63,24.0
19.1,0.09,0.83,0.41,0.5,0.9,21.1
27.5,0.4,0.66,0.38,0.83,0.98,23.6
25.9,0.29,1.0,0.44,0.69,0.75,33.2
11.6,0.19,1.0,0.29,0.63,0.87,15.7
58.8,0.51,0.03,0.71,0.68,0.63,61.5
14.2,0.0,1.0,0.26,0.59,1.0,13.6
26.7,0.44,0.79,0.2,0.55,0.97,29.7
16.9,0.19,1.0,0.17,0.92,0.94,12.6
50.5,0.54,0.54,0.53,0.47,0.64,56.2
21.5,0.25,0.81,0.25,0.92,0.83,23.2
30.3,0.34,0.57,0.25,0.76,1.0,28.5
60.4,0.5,0.49,0.49,0.83,0.7,40.2
22.6,0.12,0.94,0.3,0.91,0.88,20.3
33.0,0.23,0.41,0.39,0.52,0.86,38.0
15.5,0.21,0.72,0.39,0.79,0.9,27.2
26.4,0.14,0.55,0.21,0.77,0.98,22.3
38.7,0.23,0.88,0.38,0.78,0.81,44.3
12.2,0.06,1.0,0.24,0.96,0.84,2.6
23.1,0.2,0.72,0.2,0.52,0.84,15.7
33.7,0.33,0.82,0.44,0.77,0.78,38.0
7.2,0.02,0.72,0.21,0.61,0.95,18.4
37.8,0.43,0.67,0.4,0.83,0.82,29.7
31.9,0.44,0.82,0.42,0.5,0.75,35.9
19.7,0.2,0.72,0.22,0.68,0.76,16.3
28.7,0.4,0.71,0.3,0.9,0.88,23.6
60.1,0.66,0.47,0.47,0.45,0.78,48.4
9.7,0.0,1.0,0.23,0.58,0.94,4.7
27.5,0.19,0.5,0.3,0.92,0.84,25.1
50.5,0.41,0.47,0.43,0.7,0.76,53.2
16.0,0.14,0.7,0.15,0.66,0.9,17.9
21.4,0.19,0.87,0.16,0.74,0.83,22.3
46.3,0.52,0.49,0.38,0.58,0.7,43.4
27.8,0.26,0.84,0.27,0.31,0.9,37.4
18.5,0.21,0.61,0.28,0.78,0.83,20.5
11.5,0.0,0.81,0.15,0.28,0.77,12.7
42.3,0.45,0.88,0.54,0.62,0.8,48.4
64.4,0.6,0.33,0.59,0.89,0.72,53.9
30.8,0.25,0.85,0.4,0.44,0.98,32.2
41.1,0.35,0.43,0.35,0.65,0.77,47.6
19.6,0.35,0.58,0.26,0.6,0.84,20.6
13.9,0.02,1.0,0.28,0.43,0.92,16.8
9.9,0.17,1.0,0.16,0.84,0.93,17.1
36.7,0.36,0.57,0.36,0.78,0.83,32.9
50.7,0.37,0.74,0.6,0.84,0.55,38.6
23.6,0.21,0.67,0.42,0.9,0.81,30.5
40.6,0.17,0.47,0.44,0.72,0.77,38.5
26.5,0.44,0.74,0.45,0.39,0.97,32.5
38.1,0.34,0.58,0.49,0.77,0.93,42.1
22.5,0.34,0.6,0.17,0.79,0.92,16.7
4.5,0.18,0.94,0.2,0.87,0.93,10.0
16.4,0.11,0.87,0.32,0.75,0.96,15.5
19.1,0.19,0.93,0.3,0.82,1.0,13.5
26.2,0.28,1.0,0.43,0.51,0.76,33.3
35.6,0.55,0.83,0.34,0.74,0.77,44.3
8.1,0.06,0.76,0.08,0.8,0.87,12.8
10.8,0.1,1.0,0.27,0.89,1.0,12.8
24.6,0.11,0.76,0.39,0.52,0.82,26.8
54.5,0.46,0.5,0.61,0.59,0.5,49.0
33.6,0.29,0.56,0.24,0.75,0.88,22.4
11.2,0.24,0.89,0.28,0.77,1.0,13.4
7.9,0.27,0.92,0.06,0.79,0.77,9.3
22.3,0.27,0.88,0.39,0.67,0.95,18.2
23.9,0.27,0.9,0.38,0.52,0.72,33.5
46.9,0.54,0.47,0.5,0.81,0.75,43.0
10.9,0.04,1.0,0.23,0.63,1.0,15.8
35.1,0.49,0.57,0.46,0.93,0.91,36.5
11.5,0.0,1.0,0.1,0.9,1.0,1.2
52.1,0.48,0.38,0.61,0.55,0.69,60.6
46.3,0.53,0.37,0.38,0.82,0.78,47.6
44.6,0.4,0.51,0.46,0.51,0.79,43.7
45.1,0.7,0.51,0.46,0.84,0.69,51.4
20.8,0.27,0.64,0.38,0.8,0.87,32.8
55.3,0.65,0.39,0.45,0.59,0.72,49.8
24.1,0.17,0.68,0.26,0.79,0.98,16.0
35.2,0.45,0.65,0.45,0.89,0.85,35.6
56.2,0.64,0.52,0.52,0.85,0.82,47.1
6.6,0.22,0.92,0.14,0.8,1.0,18.4
47.8,0.26,0.38,0.52,0.46,0.58,49.4
36.2,0.28,0.58,0.28,0.8,0.83,29.1
40.2,0.44,0.75,0.52,0.78,0.84,41.9
14.5,0.18,0.76,0.26,0.96,0.96,7.8
14.9,0.14,0.71,0.17,0.53,0.95,20.8
26.7,0.11,0.5,0.31,0.95,0.76,25.6
26.7,0.29,0.63,0.23,0.85,0.83,18.9
20.2,0.23,0.92,0.33,0.74,0.96,16.1
51.9,0.52,0.37,0.56,0.65,0.75,52.1
1.3,0.01,0.98,0.13,0.87,1.0,0.0
23.0,0.32,0.7,0.26,0.66,1.0,26.3
8.9,0.07,0.83,0.32,0.84,1.0,15.2
54.4,0.42,0.65,0.55,0.7,0.77,52.9
33.8,0.48,0.64,0.44,0.71,0.72,45.4
22.1,0.36,0.59,0.19,0.78,0.78,29.8
12.2,0.12,0.65,0.3,0.82,0.85,14.8
32.7,0.41,0.51,0.36,0.85,0.76,31.6
10.0,0.0,0.72,0.18,0.97,1.0,13.5
33.8,0.32,0.79,0.52,0.82,0.82,23.7
58.3,0.41,0.39,0.42,0.56,0.82,49.2
54.9,0.66,0.46,0.44,0.64,0.76,58.7
14.4,0.0,0.82,0.21,0.74,0.83,5.9
54.0,0.5,0.43,0.48,0.56,0.83,52.6
4.9,0.07,1.0,0.19,0.89,1.0,4.8
22.7,0.31,0.93,0.28,0.79,1.0,20.4
15.1,0.2,1.0,0.34,0.92,0.96,9.6
4.0,0.15,0.83,0.26,0.49,0.86,16.4
42.0,0.5,0.52,0.53,0.79,0.79,36.0
47.0,0.6,0.56,0.44,0.83,0.67,42.4
45.9,0.28,0.78,0.44,0.63,0.63,34.9
29.3,0.24,0.6,0.42,0.6,0.71,28.4
32.5,0.37,0.82,0.26,0.9,0.89,23.0
60.8,0.77,0.3,0.68,0.54,0.7,54.9
22.8,0.18,0.92,0.32,0.64,0.68,19.6
32.9,0.53,0.69,0.48,0.67,0.77,31.2
18.9,0.22,0.65,0.37,0.57,1.0,20.5
47.6,0.4,0.51,0.45,0.69,0.79,44.7
46.2,0.35,0.63,0.35,0.7,0.6,34.8
33.6,0.41,0.23,0.51,0.57,0.76,40.7
29.1,0.23,0.85,0.31,0.92,0.92,26.8
30.1,0.27,0.48,0.32,0.4,0.78,36.8
32.7,0.34,0.64,0.5,0.34,0.83,35.1
6.8,0.09,0.92,0.32,0.73,0.88,13.9
33.3,0.52,0.26,0.31,0.64,0.98,29.1
56.9,0.61,0.34,0.42,0.63,0.58,46.5
16.9,0.11,0.89,0.12,0.85,0.71,17.3
32.3,0.25,0.96,0.36,0.94,0.9,27.6
26.0,0.43,0.86,0.35,0.69,0.86,26.9
21.1,0.16,0.93,0.23,0.59,1.0,21.6
44.5,0.5,0.23,0.39,0.89,0.84,42.8
19.3,0.21,0.76,0.24,0.59,0.93,18.3
42.2,0.46,0.85,0.37,0.57,0.79,42.9
31.5,0.45,0.83,0.48,0.77,0.8,39.5
8.9,0.12,0.83,0.26,0.77,0.87,12.4
18.1,0.26,0.84,0.38,0.66,0.85,25.4
28.9,0.32,0.86,0.46,0.79,0.94,22.8
19.1,0.15,0.95,0.26,0.6,0.85,7.7
25.5,0.3,0.73,0.32,0.82,1.0,27.9
26.3,0.2,0.7,0.48,0.42,0.93,23.2
18.7,0.07,0.88,0.38,0.6,0.73,24.5
12.4,0.18,1.0,0.33,0.7,0.94,12.7
35.9,0.41,0.58,0.43,0.78,0.67,36.8
0.7,0.04,0.72,0.14,0.57,0.98,6.6
22.5,0.22,0.76,0.43,0.84,0.93,21.5
